nces_id,ts,month,likes_n,comments_n,shares_n,engagement_n,domain,post_text,comment_like_ratio
2740740,2020-08-18 18:36:44,2020-08-01,2,79,0,81,www.isd381.k12.mn.us,Vote in the comments for your new favorite Community Education logo!,39.5
1805670,2020-07-15 12:04:43,2020-07-01,92,1188,81,1361,www.ltschools.org,Live 2020-21 Community Forum,12.91304347826087
2103720,2020-08-20 14:35:52,2020-08-01,12,223,8,243,www.madisoncountyky.us,NA,18.583333333333332
2103720,2019-12-17 09:30:35,2019-12-01,5,66,35,106,www.madisoncountyky.us,Fiscal Court 12-17-2019,13.2
623530,2020-05-04 08:00:37,2020-05-01,1,17,0,18,www.mammothusd.org,"Comment below with your kids' responses #WeLoveMESstaff",17.0
805460,2020-06-06 13:54:08,2020-06-01,2,29,0,31,www.mancosre6.edu,NA,14.5
623800,2020-05-19 11:00:22,2020-05-01,1,17,0,18,www.marcum-illinois.org,Cookie Face!,17.0
623800,2020-03-27 11:00:36,2020-03-01,2,27,0,29,www.marcum-illinois.org,Fun Friday- Show us something fun your Wildcat is doing today. Bonus House Points if they are doing it in their House Shirt!,13.5
691018,2020-07-09 11:46:35,2020-07-01,18,260,19,297,www.marinschools.org,7/9 Discussion with Public Health Officers & School Leaders,14.444444444444445
4400900,2020-05-08 17:31:45,2020-05-01,1,15,5,21,www.providenceri.gov,"As we continue to work together to ensure the health and safety of our residents, I would like to take time to review the steps we took this week to prevent the further spread of COVID-19 in our community. Read our latest newsletter: https://bit.ly/2LdOkrG
_____

Subscribe to receive our newsletters: http://bit.ly/35Zs7p4",15.0
4400900,2020-05-08 09:09:33,2020-05-01,1,13,0,14,www.providenceri.gov,"NEW #PROVIDENCE TEST SITE:
RI Free Clinic is the 4th free test site in #PVD.
- Drive- up🚗 & walk-up testing🚶‍♀️
- Available to uninsured adult patients 👥
- Multilingual staff🗣️
- Monday-Thursday 1-4PM, Saturday 10AM-2PM🗓️
🏥 647 Broad Street(Parking Lot)
📞: 401-92-COVID",13.0
4829700,2020-03-27 12:26:04,2020-03-01,10,177,0,187,www.mcisd.esc18.net,"Virtual Spirit Week
Day #5
Wear you Badger gear
*any pictures may be used in the 2019-2020 yearbook",17.7
2802880,2020-05-21 20:00:09,2020-05-01,173,3626,516,4315,www.mccomb.k12.ms.us,NA,20.959537572254334
3905022,2020-07-22 18:02:56,2020-07-01,15,185,2,202,www.mcdonald.k12.oh.us,NA,12.333333333333334
4830210,2020-03-25 11:45:47,2020-03-01,1,15,0,16,www.menardisd.net,"📚Day 3: #Togetherinspirit
Please share your book with us in the comments below.",15.0
2600281,2020-03-26 08:45:10,2020-03-01,1,13,0,14,www.merritt-academy.org,NA,13.0
1733420,2020-03-18 20:49:15,2020-03-01,1,13,0,14,www.rich227.org,"RESULTS ARE IN: And the NEW Rich Township High Schools mascot is...

Red Hawks, Phoenix, Raiders, or Raptors?

Who do you think will win?

👇 Comment below 👇",13.0
2910830,2020-08-18 18:14:03,2020-08-01,3,39,3,45,www.dixonr1.com,August 18 - Special Board Meeting,13.0
400184,2020-08-17 20:27:21,2020-08-01,4,50,0,54,www.dobsonacademy.org,"Post your first day pictures in the comments! We would love to see those brilliant faces and we hope everyone had a great first day while we figure out this process!! #godolphins 🐬💙",12.5
4817280,2020-03-19 09:45:08,2020-03-01,1,13,0,14,www.doddcityisd.org,Virtual SPIRIT WEEK! First day of spring 💐 🌺 ☀️. Fill our comment feed with pictures of you playing outside. ( weather permitting ),13.0
1301770,2020-07-27 17:20:03,2020-07-01,1,13,8,22,www.dodge.k12.ga.us,"Zoom link for Special Called Meeting:
https://zoom.us/j/4595765655?pwd=YW91WFlXUDNYWnF5aWRFUkd4bG1WZz09",13.0
3200090,2020-08-31 09:24:13,2020-08-01,8,125,18,151,www.celebratedouglascounty.com,NA,15.625
3200090,2020-08-27 13:46:19,2020-08-01,1,13,2,16,www.celebratedouglascounty.com,"This afternoon's 2p Special Called BOC meeting can be viewed online at the following link:
https://douglascounty.viebit.com/",13.0
3200090,2020-08-17 09:53:11,2020-08-01,11,348,11,370,www.celebratedouglascounty.com,NA,31.636363636363637
3200090,2020-08-13 17:00:26,2020-08-01,2,27,4,33,www.celebratedouglascounty.com,NA,13.5
2600175,2020-09-08 15:58:25,2020-09-01,8,131,0,139,doveacademy.net,"Parents tune in with us live, our building network team is here to answer your questions and offer support.",16.375
2600175,2020-09-08 15:58:25,2020-09-01,8,131,0,139,doveacademy.net,"Parents tune in with us live, our building network team is here to answer your questions and offer support.",16.375
3609420,2020-08-18 12:58:31,2020-08-01,11,182,28,221,www.dunkirkcsd.org,NA,16.545454545454547
3901454,2020-07-30 13:03:51,2020-07-01,1,12,3,16,www.steamacademyakron.org,I’m an Eagle Student....How will my day look?,12.0
3404230,2020-07-28 18:13:02,2020-07-01,32,495,27,554,www.eastorange.k12.nj.us,COMMUNITY MEETING,15.46875
2200292,2020-06-25 13:00:17,2020-06-01,5,118,4,127,www.einsteincharter.org,NA,23.6
612180,2020-09-01 19:23:14,2020-09-01,10,167,4,181,erusd.org,NA,16.7
612180,2020-08-18 19:17:10,2020-08-01,11,150,3,164,erusd.org,NA,13.636363636363637
612180,2020-07-21 19:16:21,2020-07-01,22,250,5,277,erusd.org,ERUSD Board Meeting,11.363636363636363
612180,2020-06-23 19:45:24,2020-06-01,31,514,4,549,erusd.org,NA,16.580645161290324
612180,2020-05-05 20:15:34,2020-05-01,39,943,4,986,erusd.org,NA,24.17948717948718
612180,2020-04-21 20:01:10,2020-04-01,30,1423,12,1465,erusd.org,NA,47.43333333333333
3404590,2020-07-16 16:55:54,2020-07-01,211,2602,119,2932,www.epsnj.org,Coronavirus Panel with Medical & Health Experts,12.33175355450237
1714550,2020-05-28 19:43:23,2020-05-01,87,1464,21,1572,www.d124.org,2020 Graduation Ceremony,16.82758620689655
1911250,2020-04-23 17:03:21,2020-04-01,2,61,0,63,www.exira-ehk.k12.ia.us,"MS/HS parents, show us your QuaranTEEN (or preteen). Add your pictures in the comment below. Pictures may be used in the yearbook if you do not want them in the yearbook email Mrs. Johnston.",30.5
4502100,2020-06-06 08:15:41,2020-06-01,62,832,331,1225,www.fairfield.k12.sc.us,Fairfield High School Graduation Ceremony 2020,13.419354838709678
2504800,2020-04-21 10:33:53,2020-04-01,1,20,0,21,www.fairhavenps.org,"Today is #TriviaTuesday!

The first #FairhavenPS student (via family member if the student doesn't have social media) to answer correctly will get their photo and a shoutout on the website and social media.

Please use the comments below to submit answers. Also, please include your child's first name and last initial along with their school (EFS, LWS, EHMS, FHS) to qualify.

True or false?
Lightning is hotter than the sun.",20.0
2101800,2020-01-04 09:00:08,2020-01-01,1,14,8,23,www.fairview.k12.ky.us,NA,14.0
3901301,2020-05-20 12:14:35,2020-05-01,1,14,0,15,foundationacad.org,Today is Wild n' Out Wednesday! How many jelly beans do you think are in the jar? Post your guess!,14.0
2102010,2020-06-19 08:58:39,2020-06-01,2,37,8,47,franklincounty.ky.gov,Franklin County Fiscal Court LIVE 06/19/20,18.5
2614250,2020-02-21 08:59:40,2020-02-01,1,13,0,14,www.fentonschools.org,"For #FictionFriday, let us know your favorite #Fictional book in the comments! 📚📖

#WeAreFenton",13.0
2614250,2020-02-21 08:59:40,2020-02-01,1,13,0,14,www.fentonschools.org,"For #FictionFriday, let us know your favorite #Fictional book in the comments! 📚📖

#WeAreFenton",13.0
2614280,2020-06-06 11:28:58,2020-06-01,68,1003,79,1150,www.ferndaleschools.org,NA,14.75
4209940,2020-08-21 07:48:59,2020-08-01,1,12,0,13,www.fhrangers.org,Information regarding GJCTC return.,12.0
5102790,2020-05-14 18:55:58,2020-05-01,12,137,11,160,www.nottowayschools.org,NA,11.416666666666666
5306090,2020-03-19 18:05:16,2020-03-01,1,12,0,13,www.ocosta.k12.wa.us,"Time to take a quick vote for our 7:30 story!

Pete the Cat and the Missing Cupcake

OR

Pete the Cat Rocking in My School Shoes?

Let me know in the comments
Cupcake or Shoes
See you at 7:30!",12.0
628270,2019-11-23 14:17:10,2019-11-01,15,184,7,206,www.ojaiusd.org,NA,12.266666666666667
1800016,2020-05-27 18:02:38,2020-05-01,33,890,51,974,www.optionsined.org,A celebration & recognition of the Options Schools Class of 2020!,26.96969696969697
1201470,2020-05-05 18:50:27,2020-05-01,7,117,0,124,www.osceolaschools.net,"Calling all our science 🔬 buffs for this FINAL trivia question.

Here are the rules: Please only comment once with your answer and please do not reply to any other comments on the post. You must be an Osceola School District teacher to win.

Remember, a winner will be chosen at random for each of the five questions we ask during trivia tonight (but your answer has to be right!) to win an Addition Financial basket full of goodies and an Amazon gift card! #weloveSDOCteachers #TeacherAppreciationWeek",16.714285714285715
1201470,2020-05-05 18:39:23,2020-05-01,5,110,0,115,www.osceolaschools.net,"Question four is for more fans... of the Royal fam!

Here are the rules: Please only comment once with your answer and please do not reply to any other comments on the post. You must be an Osceola School District teacher to win.

Remember, a winner will be chosen at random for each of the five questions we ask during trivia tonight (but your answer has to be right!) to win an Addition Financial basket full of goodies and an Amazon gift card! #weloveSDOCteachers #TeacherAppreciationWeek",22.0
1201470,2020-05-05 18:11:57,2020-05-01,9,126,0,135,www.osceolaschools.net,"Question ✌🏼 and it's for all you Disney fans out there!

Here are the rules: Please only comment once with your answer and please do not reply to any other comments on the post. You must be an Osceola School District teacher to win.

Remember, a winner will be chosen at random for each of the five questions we ask during trivia tonight (but your answer has to be right!) to win an Addition Financial basket full of goodies and an Amazon gift card! #weloveSDOCteachers #TeacherAppreciationWeek",14.0
2010350,2012-07-18 12:07:58,2012-07-01,3,42,0,45,www.usd504.org,"Attention Alumni!!! If there is any way we could email you your invite this year please message us with your email address! This is a work in progress, but it will save us a TON of money!!! Thanks!",14.0
2600068,2020-05-05 09:19:36,2020-05-01,4,65,0,69,pansophiaacademy.org,"OK Puma family, we are adopting a pet rock. See the picture...we are having a contest with a prize! Can you guess how much our new Puma Spirit Rock weighs? We will award a prize to the person who guesses closest to his actual weight. Leave your guess in the comments below. A winner will be announced next Monday!",16.25
3175270,2020-07-28 18:34:50,2020-07-01,85,1256,20,1361,www.plcschools.org,"Get your questions answered about the PLCS Return to School Plan for the 2020-2021 school year! Please post your questions in the comments. #GreatnessHappensTogether #PLCSBeKnown #PLCSGreat",14.776470588235295
2600204,2019-10-03 06:22:15,2019-10-01,2,59,0,61,paragon.heritageacademies.com,NA,29.5
2200300,2020-08-25 16:30:30,2020-08-01,5,67,4,76,www.caddo.org,Caddo Parish Commission,13.4
2200300,2020-08-20 16:32:27,2020-08-01,1,38,3,42,www.caddo.org,Caddo Parish Commission,38.0
2200300,2020-08-03 15:03:17,2020-08-01,4,56,0,60,www.caddo.org,Caddo Parish Commission,14.0
2200300,2020-07-23 14:33:53,2020-07-01,2,109,6,117,www.caddo.org,Caddo Parish Commission,54.5
2200300,2020-07-21 11:01:31,2020-07-01,1,12,2,15,www.caddo.org,Caddo Parish Commission,12.0
2200300,2020-07-14 14:00:38,2020-07-01,3,41,4,48,www.caddo.org,Caddo Parish Commission,13.666666666666666
2200300,2020-07-09 16:30:28,2020-07-01,13,335,13,361,www.caddo.org,Caddo Parish Commission,25.76923076923077
2200300,2020-07-09 15:02:18,2020-07-01,1,43,5,49,www.caddo.org,Caddo Parish Commission,43.0
2200300,2020-07-08 13:31:54,2020-07-01,20,380,13,413,www.caddo.org,Caddo Parish Commission,19.0
2200300,2020-07-06 16:33:04,2020-07-01,2,25,4,31,www.caddo.org,Caddo Parish Commission,12.5
2200300,2020-07-06 15:32:21,2020-07-01,1,18,2,21,www.caddo.org,Caddo Parish Commission,18.0
2200300,2020-07-06 13:03:23,2020-07-01,2,37,3,42,www.caddo.org,Caddo Parish Commission,18.5
2200300,2020-07-02 15:00:49,2020-07-01,2,25,2,29,www.caddo.org,Caddo Parish Commission,12.5
2200300,2020-05-21 16:31:36,2020-05-01,10,307,7,324,www.caddo.org,Caddo Parish Commission,30.7
2200300,2020-04-20 15:03:09,2020-04-01,2,29,3,34,www.caddo.org,Caddo Parish Commission,14.5
4200882,2020-07-02 18:10:35,2020-07-01,14,280,54,348,hhpa.k12.com,PACS June Class of 2021 Graduation ceremony.,20.0
511850,2020-07-28 19:01:54,2020-07-01,5,74,0,79,www.pcssd.org,"Let's have fun and play a game - Never Have I Ever (Covid-19 edition)! Give yourself ONE point for each thing you have NOT done in the past 30 days. How many points do you get? No judgement here, just a little fun. 😉 #pcssdproud #equityandexcellence",14.8
2627810,2020-08-22 20:43:43,2020-08-01,1,18,5,24,www.pennfield.net,"You can watch the livestream of the Monday, August 24th Special Board Meeting at this link: https://www.youtube.com/watch?v=bcen7YRL0r0

If you would like to speak during the public comment portion of the Board Meeting, please fill out this form and you will receive the connection information Monday afternoon. https://bit.ly/pennboardcomment",18.0
3400754,2020-06-18 16:00:16,2020-06-01,23,301,19,343,peoplesprepnewark.org,Let's Celebrate,13.08695652173913
3904689,2020-08-24 17:01:21,2020-08-01,31,417,11,459,www.pickerington.k12.oh.us,NA,13.451612903225806
3700104,2020-07-25 13:10:40,2020-07-01,24,380,6,410,www.pccharter.org,NA,15.833333333333334
2913500,2020-08-15 11:05:57,2020-08-01,1,13,0,14,haleschooldistrict.com,Unfortunately due to lack of interest there will not be a Lady Cardinals softball season for 20-21.,13.0
3904749,2020-08-29 12:07:40,2020-08-01,5,111,0,116,hn.k12.oh.us,NA,22.2
3904749,2020-08-29 10:42:08,2020-08-01,3,35,0,38,hn.k12.oh.us,NA,11.666666666666666
2007050,2020-08-26 19:59:00,2020-08-01,135,2727,67,2929,www.usd261.com,NA,20.2
3100117,2020-09-04 16:03:51,2020-09-01,6,101,0,107,www.heartlandschools.org,Today's homeroom challenge: balloon volleyball!,16.833333333333332
4106270,2020-08-21 18:54:41,2020-08-01,2,38,0,40,www.helix.k12.or.us,NA,19.0
4106270,2020-06-14 11:59:01,2020-06-01,1,13,0,14,www.helix.k12.or.us,NA,13.0
4106270,2020-04-12 12:49:43,2020-04-01,9,111,0,120,www.helix.k12.or.us,NA,12.333333333333334
2713680,2020-04-28 19:29:11,2020-04-01,3,59,0,62,hendrickspublicschools.org,Stu.Co@isd402.org Blanket Auction,19.666666666666668
4000773,2020-09-10 19:08:47,2020-09-01,6,73,5,84,www.hardingfinearts.org,Varsity Firehawk Volleyball vs John Marshall,12.166666666666666
4000773,2020-08-27 18:11:34,2020-08-01,5,96,2,103,www.hardingfinearts.org,NA,19.2
4900156,2019-05-03 20:36:26,2019-05-01,3,40,0,43,www.hmcharterschool.org,Vote for next years spirit shirt in the comments!,13.333333333333334
1200870,2020-08-28 07:36:00,2020-08-01,249,3076,223,3548,www.sdhc.k12.fl.us,NA,12.353413654618475
1200870,2020-08-06 09:25:09,2020-08-01,841,9988,693,11522,www.sdhc.k12.fl.us,NA,11.876337693222354
1200870,2020-07-16 12:53:53,2020-07-01,359,4242,459,5060,www.sdhc.k12.fl.us,NA,11.816155988857938
5101980,2020-08-06 18:00:09,2020-08-01,33,478,30,541,www.hopewell.k12.va.us,NA,14.484848484848484
5101980,2020-07-08 18:00:16,2020-07-01,55,745,81,881,www.hopewell.k12.va.us,NA,13.545454545454545
4823640,2020-05-14 23:24:29,2020-05-01,14,239,13,266,www.houstonisd.org,NA,17.071428571428573
101800,2020-09-03 19:28:34,2020-09-01,10,187,10,207,www.huntsvillecityschools.org,HCS BOE Meetings,18.7
1800123,2020-05-06 14:05:36,2020-05-01,8,115,0,123,www.inspiremuncie.org,NA,14.375
1800123,2020-04-08 13:55:09,2020-04-01,7,232,5,244,www.inspiremuncie.org,NA,33.142857142857146
3700400,2020-08-26 15:57:09,2020-08-01,6,109,6,121,iredellcharter.org,NA,18.166666666666668
1201590,2020-07-30 12:44:20,2020-07-01,123,1746,143,2012,www.polk-fl.net,"Join us as we help answer more of your employee questions about the 2020-21 school year.

If you haven't already, please review the information at polkschoolsfl.com/reopening and then submit your questions here on the live feed. We will do our best to answer questions as they're submitted, along with those we received yesterday.",14.195121951219512
